,Coefficient,Std_Err,z_value,p_value
Intercept,9910328.900737623,716989.0672551125,13.822147858792135,1.873938397245864e-43
Encryption[T.LUKS],623277.6074074204,320991.43701831705,1.9417265868430431,0.05217020833590561
Encryption[T.Veracrypt],1842704.456790136,320991.437018317,5.740665464184904,9.430522530457101e-09
Operation[T.write],-7081777.671604926,320991.4370183169,-22.062201214423098,7.294551144568706e-108
C(Block_Size)[T.8],1446412.9074073718,507532.0251941862,2.8498948551157173,0.004373368398909511
C(Block_Size)[T.16],2434832.7962962613,507532.0251941862,4.797397357072537,1.6074053102837995e-06
C(Block_Size)[T.32],2976563.450617249,507532.02519418625,5.864779566330597,4.497297592287815e-09
C(Block_Size)[T.64],5374789.076558371,464001.41642530647,11.583561787302406,4.9927604619762525e-31
C(Block_Size)[T.128],5881483.305712681,473834.9696307183,12.41251423527562,2.2352173326143096e-35
C(Block_Size)[T.256],6269951.219073304,484339.52374008205,12.945363555417865,2.495789182804699e-38
C(Block_Size)[T.512],5967900.770661441,495827.52534314495,12.03624338227545,2.2915524694777602e-33
C(Block_Size)[T.1024],4736343.300018368,508652.1596836096,9.311556453361872,1.2597258852360257e-20
C(Block_Size)[T.2048],4407207.552320073,523255.27810071444,8.422671947652649,3.6799380087280663e-17
C(Block_Size)[T.4096],3977700.319975408,540229.1799945232,7.362986797595298,1.7984016457285207e-13
C(Block_Size)[T.8192],3897816.515543336,560412.9732120187,6.955257465227685,3.519187301691437e-12
C(Block_Size)[T.16384],3719627.5608489253,585060.251165274,6.357682911188178,2.048197149033906e-10
C(File_Size)[T.128],-509955.0080710437,654394.7322641023,-0.779277373316683,0.4358163403647729
C(File_Size)[T.256],-1500244.564951021,635387.8011847122,-2.361147888193227,0.018218463712546443
C(File_Size)[T.512],-2509715.412670632,621222.520611034,-4.039962057721406,5.3459849253146333e-05
C(File_Size)[T.1024],-3383587.575269987,610372.1445753848,-5.543482947806922,2.9651356219511572e-08
C(File_Size)[T.2048],-4108203.7750240862,601907.2338790597,-6.8253105192776955,8.773533262645071e-12
C(File_Size)[T.4096],-4477917.831478433,595235.0345832236,-7.522940639093625,5.355774434124419e-14
C(File_Size)[T.8192],-4654779.885561783,589967.4253905063,-7.8898930436383505,3.0244563077207814e-15
C(File_Size)[T.16384],-5173276.909168639,585851.0380656457,-8.830362281595827,1.0433722253334004e-18
C(File_Size)[T.32768],-5586660.947483592,641610.3729041565,-8.707248485083525,3.113400721165852e-18
C(File_Size)[T.65536],-5833305.367236677,641610.3729041563,-9.09166312388789,9.753549312159122e-20
C(File_Size)[T.131072],-5943655.441310751,641610.3729041563,-9.26365235400989,1.9755624437525555e-20
C(File_Size)[T.262144],-6732915.206742849,641610.3729041563,-10.493775492231032,9.226623627367204e-26
C(File_Size)[T.524288],-7038718.601804577,641610.3729041563,-10.970394025808588,5.304074550293933e-28
C(File_Size)[T.1048576],-9854207.040076185,641610.3729041565,-15.358553190891449,3.1042515953071758e-53
Encryption[T.LUKS]:Operation[T.write],-722150.3333333469,453950.4436369329,-1.5908131459188943,0.11165163356479184
Encryption[T.Veracrypt]:Operation[T.write],-1926383.3950617397,453950.44363693264,-4.243598441336587,2.1996381386251137e-05
Group Var,0.019837554543775872,0.021084843353164864,0.9408442932917606,0.3467846585478782
