,File Size,Block Size,Speed
0,64,4,5735102.0
1,64,8,10821524.0
2,64,16,15972885.0
3,64,32,12902017.0
4,64,64,64000000.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,6727225.0
14,128,8,4934216.0
15,128,16,7476717.0
16,128,32,9795896.0
17,128,64,11720614.0
18,128,128,41924383.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,6398720.0
27,256,8,6719046.0
28,256,16,8024634.0
29,256,32,7314033.0
30,256,64,12812277.0
31,256,128,19591792.0
32,256,256,37275329.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,8140399.0
40,512,8,10235583.0
41,512,16,12499490.0
42,512,32,7988981.0
43,512,64,9638369.0
44,512,128,19557124.0
45,512,256,15471149.0
46,512,512,29906870.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,5958564.0
53,1024,8,6402699.0
54,1024,16,8457895.0
55,1024,32,8199542.0
56,1024,64,13472053.0
57,1024,128,15295157.0
58,1024,256,6244448.0
59,1024,512,15295157.0
60,1024,1024,20088179.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,6058611.0
66,2048,8,8977721.0
67,2048,16,8713618.0
68,2048,32,8866519.0
69,2048,64,7106133.0
70,2048,128,9179186.0
71,2048,256,9567698.0
72,2048,512,12187663.0
73,2048,1024,12729493.0
74,2048,2048,12416686.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,6272759.0
79,4096,8,7489679.0
80,4096,16,8393502.0
81,4096,32,8328399.0
82,4096,64,7473388.0
83,4096,128,8660056.0
84,4096,256,9846293.0
85,4096,512,11035332.0
86,4096,1024,10036109.0
87,4096,2048,9222577.0
88,4096,4096,8514134.0
89,4096,8192,
90,4096,16384,
91,8192,4,5805180.0
92,8192,8,6244039.0
93,8192,16,7825383.0
94,8192,32,8515834.0
95,8192,64,7968758.0
96,8192,128,8015231.0
97,8192,256,9071145.0
98,8192,512,8819674.0
99,8192,1024,8086916.0
100,8192,2048,9030615.0
101,8192,4096,8192973.0
102,8192,8192,8532752.0
103,8192,16384,
104,16384,4,6049885.0
105,16384,8,6515049.0
106,16384,16,6792606.0
107,16384,32,7927213.0
108,16384,64,9183651.0
109,16384,128,9067322.0
110,16384,256,7645006.0
111,16384,512,6595715.0
112,16384,1024,8290636.0
113,16384,2048,8350072.0
114,16384,4096,7922644.0
115,16384,8192,7043957.0
116,16384,16384,7262061.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,8700977.0
122,32768,128,9813699.0
123,32768,256,10317615.0
124,32768,512,8799018.0
125,32768,1024,8196108.0
126,32768,2048,8902175.0
127,32768,4096,8790014.0
128,32768,8192,7243233.0
129,32768,16384,6894075.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,10462449.0
135,65536,128,10882458.0
136,65536,256,10208337.0
137,65536,512,9315745.0
138,65536,1024,8840562.0
139,65536,2048,8785183.0
140,65536,4096,7372779.0
141,65536,8192,7887275.0
142,65536,16384,8292491.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,10688400.0
148,131072,128,10783372.0
149,131072,256,10566983.0
150,131072,512,10274502.0
151,131072,1024,8707374.0
152,131072,2048,7515581.0
153,131072,4096,7688375.0
154,131072,8192,8994871.0
155,131072,16384,6503230.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,10056557.0
161,262144,128,10693682.0
162,262144,256,11048390.0
163,262144,512,9623497.0
164,262144,1024,4290897.0
165,262144,2048,4262089.0
166,262144,4096,8098649.0
167,262144,8192,7608771.0
168,262144,16384,7104587.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,12203249.0
174,524288,128,11700242.0
175,524288,256,11524082.0
176,524288,512,11492223.0
177,524288,1024,9145913.0
178,524288,2048,7964162.0
179,524288,4096,8553654.0
180,524288,8192,7994767.0
181,524288,16384,7736860.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,10620201.0
187,1048576,128,11075418.0
188,1048576,256,10903910.0
189,1048576,512,11021960.0
190,1048576,1024,9065860.0
191,1048576,2048,8653248.0
192,1048576,4096,8279520.0
193,1048576,8192,7936122.0
194,1048576,16384,7575435.0
