,File Size,Block Size,Speed
0,64,4,7100397.0
1,64,8,10821524.0
2,64,16,12902017.0
3,64,32,15972885.0
4,64,64,55857768.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,6114306.0
14,128,8,5847904.0
15,128,16,9795896.0
16,128,32,16365173.0
17,128,64,20804356.0
18,128,128,60968594.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,5347168.0
27,256,8,7314033.0
28,256,16,8888172.0
29,256,32,12228612.0
30,256,64,18259146.0
31,256,128,18259146.0
32,256,256,51608070.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,7334159.0
40,512,8,7410080.0
41,512,16,14240069.0
42,512,32,7871843.0
43,512,64,7758090.0
44,512,128,10641343.0
45,512,256,15037801.0
46,512,512,34192498.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,7472033.0
53,1024,8,7826025.0
54,1024,16,11520658.0
55,1024,32,8542002.0
56,1024,64,12790037.0
57,1024,128,11018226.0
58,1024,256,12828238.0
59,1024,512,14230902.0
60,1024,1024,20088179.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,6243566.0
66,2048,8,9308497.0
67,2048,16,8749118.0
68,2048,32,6340344.0
69,2048,64,7262337.0
70,2048,128,10401883.0
71,2048,256,12050878.0
72,2048,512,9708272.0
73,2048,1024,12786337.0
74,2048,2048,13058467.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,6140479.0
79,4096,8,8775063.0
80,4096,16,8865630.0
81,4096,32,9042961.0
82,4096,64,9508420.0
83,4096,128,8209013.0
84,4096,256,10419583.0
85,4096,512,9891647.0
86,4096,1024,9846293.0
87,4096,2048,7639552.0
88,4096,4096,9966244.0
89,4096,8192,
90,4096,16384,
91,8192,4,6354905.0
92,8192,8,6947247.0
93,8192,16,7620585.0
94,8192,32,8992799.0
95,8192,64,9124139.0
96,8192,128,9385840.0
97,8192,256,9728660.0
98,8192,512,9857043.0
99,8192,1024,6591409.0
100,8192,2048,6877717.0
101,8192,4096,8273861.0
102,8192,8192,8000301.0
103,8192,16384,
104,16384,4,6061091.0
105,16384,8,7973201.0
106,16384,16,8151964.0
107,16384,32,9406146.0
108,16384,64,9923668.0
109,16384,128,6187150.0
110,16384,256,10045523.0
111,16384,512,9966847.0
112,16384,1024,8581561.0
113,16384,2048,9183651.0
114,16384,4096,6593184.0
115,16384,8192,8668158.0
116,16384,16384,8368375.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,11590589.0
122,32768,128,11237113.0
123,32768,256,6005948.0
124,32768,512,13075967.0
125,32768,1024,8960212.0
126,32768,2048,9397017.0
127,32768,4096,7302889.0
128,32768,8192,8056774.0
129,32768,16384,8357082.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,12925816.0
135,65536,128,13295950.0
136,65536,256,12251751.0
137,65536,512,13432394.0
138,65536,1024,9895238.0
139,65536,2048,9391818.0
140,65536,4096,7683775.0
141,65536,8192,8065002.0
142,65536,16384,7506878.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,14524666.0
148,131072,128,14446422.0
149,131072,256,13613611.0
150,131072,512,13339117.0
151,131072,1024,10705676.0
152,131072,2048,8436132.0
153,131072,4096,10213610.0
154,131072,8192,6292502.0
155,131072,16384,7284254.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,11949939.0
161,262144,128,12888757.0
162,262144,256,12832648.0
163,262144,512,12367708.0
164,262144,1024,8928897.0
165,262144,2048,8743366.0
166,262144,4096,8803854.0
167,262144,8192,8758898.0
168,262144,16384,7790064.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,2996667.0
174,524288,128,1185645.0
175,524288,256,13175787.0
176,524288,512,11974915.0
177,524288,1024,9420853.0
178,524288,2048,9270567.0
179,524288,4096,8268720.0
180,524288,8192,7001702.0
181,524288,16384,7003129.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,254299.0
187,1048576,128,253701.0
188,1048576,256,316293.0
189,1048576,512,457364.0
190,1048576,1024,642201.0
191,1048576,2048,680756.0
192,1048576,4096,707190.0
193,1048576,8192,715354.0
194,1048576,16384,740223.0
