	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
64	7100397	10821524	12902017	15972885	55857768								
128	6114306	5847904	9795896	16365173	20804356	60968594							
256	5347168	7314033	8888172	12228612	18259146	18259146	51608070						
512	7334159	7410080	14240069	7871843	7758090	10641343	15037801	34192498					
1024	7472033	7826025	11520658	8542002	12790037	11018226	12828238	14230902	20088179				
2048	6243566	9308497	8749118	6340344	7262337	10401883	12050878	9708272	12786337	13058467			
4096	6140479	8775063	8865630	9042961	9508420	8209013	10419583	9891647	9846293	7639552	9966244		
8192	6354905	6947247	7620585	8992799	9124139	9385840	9728660	9857043	6591409	6877717	8273861	8000301	
16384	6061091	7973201	8151964	9406146	9923668	6187150	10045523	9966847	8581561	9183651	6593184	8668158	8368375
32768	0	0	0	0	11590589	11237113	6005948	13075967	8960212	9397017	7302889	8056774	8357082
65536	0	0	0	0	12925816	13295950	12251751	13432394	9895238	9391818	7683775	8065002	7506878
131072	0	0	0	0	14524666	14446422	13613611	13339117	10705676	8436132	10213610	6292502	7284254
262144	0	0	0	0	11949939	12888757	12832648	12367708	8928897	8743366	8803854	8758898	7790064
524288	0	0	0	0	2996667	1185645	13175787	11974915	9420853	9270567	8268720	7001702	7003129
1048576	0	0	0	0	254299	253701	316293	457364	642201	680756	707190	715354	740223
